20	0	80
21	0	64
107	5	62
107	6	57
107	7	64
107	8	70
108	8	44
107	9	72
108	9	61
0	36	54
1	36	59
2	36	42
3	36	46
4	36	60
5	36	58
6	36	56
7	36	47
8	36	70
9	36	66
10	36	67
11	36	66
12	36	53
13	36	49
14	36	42
15	36	35
13	37	24
14	37	48
15	37	48
16	37	36
24	41	39
24	42	44
25	42	43
93	42	48
94	42	64
95	42	71
25	43	60
26	43	12
37	43	34
38	43	31
92	43	52
93	43	63
94	43	69
95	43	96
96	43	66
25	44	22
26	44	52
36	44	47
37	44	63
38	44	77
92	44	56
93	44	69
94	44	57
96	44	95
97	44	28
26	45	38
27	45	41
35	45	62
36	45	200
37	45	128
38	45	80
92	45	26
93	45	47
96	45	109
97	45	81
27	46	93
27	47	37
28	47	63
173	57	82
174	58	71
174	59	61
174	60	60
174	61	64
175	61	43
174	62	52
175	62	54
175	63	35
104	64	16
105	64	28
162	64	77
163	64	122
105	65	40
106	65	65
107	65	52
108	65	56
109	65	32
160	65	29
161	65	99
162	65	184
163	65	26
108	66	52
109	66	109
110	66	56
111	66	44
112	66	11
160	66	57
161	66	97
162	66	54
111	67	30
112	67	53
113	67	57
114	67	47
115	67	74
116	67	43
160	67	40
161	67	43
114	68	28
115	68	75
116	68	73
117	68	43
118	68	15
117	69	16
118	69	30
119	69	39
120	69	21
21	79	42
22	79	167
178	79	23
22	80	154
23	80	45
178	80	49
23	81	73
24	81	39
178	81	28
179	81	32
24	82	57
179	82	59
179	83	42
180	83	30
180	84	53
180	85	27
181	85	23
181	86	69
181	87	22
14	88	35
14	89	76
15	90	81
15	91	79
16	91	27
16	92	67
16	93	47
17	93	65
17	94	74
18	94	38
17	95	56
18	95	47
179	105	51
180	105	48
179	106	63
180	106	61
234	110	32
235	110	54
236	110	55
237	110	115
238	110	94
239	110	78
240	110	85
241	110	69
242	110	49
243	110	26
233	111	56
234	111	71
235	111	125
236	111	44
237	111	49
238	111	40
239	111	30
240	111	37
241	111	41
242	111	26
201	112	56
202	112	65
200	113	53
201	113	96
202	113	60
199	114	66
200	114	51
207	128	25
204	129	30
205	129	42
206	129	51
207	129	66
208	129	70
209	129	63
210	129	59
211	129	65
212	129	54
213	129	53
15	155	37
16	155	18
15	156	61
14	157	36
15	157	53
14	158	65
14	159	51
13	160	48
14	160	51
13	161	69
13	162	57
142	168	4
142	169	60
143	169	34
143	170	70
144	170	27
144	171	68
145	171	18
145	172	103
193	175	45
194	175	94
195	175	87
196	175	22
220	177	45
221	177	33
222	177	40
223	177	36
224	177	35
218	178	51
219	178	78
220	178	86
221	178	80
222	178	90
223	178	91
224	178	89
225	178	73
226	178	56
227	178	52
228	178	7
218	179	68
219	179	98
220	179	102
221	179	118
222	179	129
223	179	133
224	179	132
225	179	115
226	179	104
227	179	106
228	179	97
229	179	96
230	179	95
231	179	71
232	179	55
233	179	26
234	179	6
235	179	3
236	179	1
237	179	2
238	179	3
218	180	59
219	180	79
220	180	95
221	180	99
222	180	105
223	180	112
224	180	130
225	180	107
226	180	114
227	180	145
228	180	137
229	180	160
230	180	209
231	180	176
232	180	181
233	180	184
234	180	181
235	180	189
236	180	166
237	180	213
238	180	119
239	180	90
240	180	71
241	180	81
242	180	62
243	180	39
244	180	7
245	180	3
219	181	44
220	181	55
221	181	60
222	181	69
223	181	78
224	181	73
225	181	67
226	181	68
227	181	66
228	181	64
229	181	72
230	181	72
231	181	62
232	181	69
233	181	74
234	181	90
235	181	113
236	181	133
237	181	194
238	181	176
239	181	179
240	181	192
241	181	267
242	181	289
243	181	259
244	181	280
245	181	266
246	181	222
247	181	215
248	181	227
249	181	164
250	181	165
251	181	150
252	181	99
253	181	74
254	181	46
236	182	2
237	182	2
238	182	2
239	182	2
240	182	4
241	182	4
242	182	5
243	182	4
244	182	25
245	182	21
246	182	35
247	182	54
248	182	71
249	182	75
250	182	109
251	182	136
252	182	160
253	182	211
254	182	217
255	182	200
2	203	25
3	203	18
6	203	8
6	204	11
7	204	32
8	204	52
9	204	41
10	204	44
11	204	52
12	204	34
11	205	58
12	205	59
13	205	70
14	205	73
15	205	87
16	205	57
14	206	70
15	206	107
16	206	61
17	206	55
18	206	64
19	206	63
20	206	37
20	207	22
21	207	49
22	207	60
23	207	54
24	207	53
25	207	17
25	208	44
26	208	57
27	208	62
28	208	54
28	209	36
29	209	57
30	209	67
31	209	63
32	209	52
32	210	15
33	210	52
34	210	66
35	210	70
36	210	63
37	210	45
37	211	61
38	211	109
39	211	65
40	211	63
17	216	103
18	216	182
19	216	97
20	216	113
21	216	96
22	216	68
23	216	53
22	217	33
147	232	33
148	232	96
145	233	27
146	233	132
148	233	90
145	234	39
146	234	56
215	253	33
216	253	18
214	254	37
215	254	39
213	255	46
214	255	37
